"","source","doi","article","tech.a1","tech.a2","tech.a3","tech.a4","tech.a5","tech.a6","tech.1","tech.2","tech.3","tech.4","tech.5","tech.6","tech.7","tech.8","tech.9","tech.10","tech.11","tech.12","risk.b1","risk.13","risk.14","risk.15","risk.16","risk.17","risk.18","risk.19","risk.20","technical.quality","risk.quality","total.quality","score.source","tech.tier.zero","tech.tier.zero.criteria.failure","risk.tier.zero","risk.tier.zero.criteria.failure","authors","year","genus","species","organism.group","environment","life.stage","invitro.invivo","sex","body.length.cm","body.size.source","max.size.ingest.mm","ingest.size.source","exposure.route","leachate.only","mix","type","negative.control","reference.material","exposure.media","solvent","detergent","media.sal.ppt","media.ph","media.temp","media.temp.min","media.temp.max","exposure.duration.d","treatments","replicates","dosing.frequency","sample.size","dose.particles.mL.nominal","dose.particles.mL.min.nominal","dose.particles.mL.max.nominal","dose.mg.L.nominal","dose.mg.kg.sed.nominal","dose.mg.kg.food.nominal","dose.particles.kg.food.nominal","dose.particles.kg.food.min.nominal","dose.particles.kg.food.max.nominal","dose.percent.sed.nominal","dose.particles.m2.nominal","dose.mg.m2.nominal","dose.percent.food.nominal","dose.particles.kg.sed.nominal","chem.add.nominal","chem.add.dose.mg.L.nominal","chem.exp.typ.nominal","dose.particles.mL.measured","dose.particles.mL.min.measured","dose.particles.mL.max.measured","dose.mg.L.measured","dose.mg.kg.sed.measured","dose.mg.kg.food.measured","dose.particles.kg.food.measured","dose.particles.kg.food.min.measured","dose.particles.kg.food.max.measured","dose.percent.sed.measured","dose.particles.m2.measured","dose.mg.m2.measured","dose.percent.food.measured","dose.particles.kg.sed.measured","chem.add.dose.mg.L.measured","dose.particles.mL.master","dose.particles.mL.master.converted.reported","dose.mg.L.master","dose.mg.L.master.converted.reported","effect","effect.metric","af.time","acute.chronic","af.noec","direction","stat.clarity","lvl1","lvl2","lvl3","effect.score","bio.org","target.cell.tissue","polymer","density.g.cm3","density.mg.um.3","density.reported.estimated","shape","charge","zetapotential.mV","zetapotential.media","functional.group","size.length.mm.nominal","size.length.min.mm.nominal","size.length.max.mm.nominal","size.length.mm.measured","size.length.min.mm.measured","size.length.max.mm.measured","size.width.mm.nominal","size.width.min.mm.nominal","size.width.max.mm.nominal","size.width.mm.measured","size.width.min.mm.measured","size.width.max.mm.measured","size.height.mm.nominal","size.height.min.mm.nominal","size.height.max.mm.nominal","size.height.mm.measured","size.height.min.mm.measured","size.height.max.mm.measured","csf","csf.calculated.estimated","size.length.um.used.for.conversions","size.width.um.used.for.conversions","particle.surface.area.um2","particle.volume.um3","mass.per.particle.mg","size.category","weather.biofoul","size.valid","size.valid.method","size.valid.media","shape.valid","shape.valid.method","polymer.valid","polymer.valid.method","particle.source","supplier.part","sodium.azide","contaminant.screen","sol.rinse","clean.method","background.plastics","concentration.valid","particle.behavior","uptake.valid","uptake.valid.method","tissue.distribution","fed","curator","effect_f","size_f","shape_f","poly_f","org_f","lvl1_f","lvl2_f","lvl3_f","bio_f","vivo_f","life_f","env_f","species_f","dose.um3.mL.master","af.time_noNA","acute.chronic_f","tier_zero_tech_f","tier_zero_risk_f","dose.surface.area.um2.mL.master","particle.surface.area.um2.mg","environment.noNA","chem.exp.typ.nominal_f","dose.specific.surface.area.um2.mg.mL","Species","Group","max.size.ingest.um","x2M","EC_mono_p.particles.mL","mu.p.mono","mu.p.poly","EC_poly_p.particles.mL","CF_bio","EC_env_p.particles.mL","mu.sa.mono","x_LL_sa","x_UL_sa","mu.sa.poly","EC_poly_sa.particles.mL","EC_env_sa.particles.mL","mu.v.mono","x_LL_v","x_UL_v","mu.v.poly","EC_poly_v.particles.mL","EC_env_v.particles.mL","mu.m.mono","x_LL_m","x_UL_m","mu.m.poly","EC_poly_m.particles.mL","EC_env_m.particles.mL","mu.ssa.mono","x_LL_ssa","x_UL_ssa","mu.ssa.poly","EC_poly_ssa.particles.mL","EC_env_ssa.particles.mL","dose_new"
"1","Koelmans,Rochman","10.1002/etc.3093",2,2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,"P",2,2,2,2,0,1,0,2,11,11,22,"de Ruijter","Pass",NA,"Pass",NA,"Au","2015","Hyalella","azteca","Crustacea","Freshwater","Early","invivo",NA,0.78,"Koelmans 2020",0.112,"Koelmans 2020","water","N","N","Lab","Y","N","hard.reconstituted.water","ethanol",NA,NA,NA,25,NA,NA,10,5,3,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,"reported",0.599393782,"converted","N","NOEC",10,"acute",1,NA,"Clear","fitness","mortality","mortality",6,"organism",NA,"PE",1.13,1.13e-09,"reported","fragment",NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,"estimated",18.5,NA,2467.64272131785,1316.95627808413,5.99e-07,3,"N","Y","laser.measuring.microscope",NA,"Y","microscopy","N",NA,"commercial","cospheric","unknown","N","N","N","N","Y","N","Y","microscopy.flourescent.particles","gut","Y","LTH,EM","No",NA,"Fragment","Polyethylene","Crustacea","Fitness","Mortality","Mortality","Organism","In Vivo","Early","Freshwater","Hyalella azteca",530436.9756,"10","Acute","Red Criteria Passed","Red Criteria Passed",2467642.72131785,4119603875.32196,"Freshwater","Particle Only",4119603875321.96,"Hyalella azteca","Crustacea",112,145.454545454545,1000,1,4.5207925495501,221.200152194446,1.00476449974776,222.25406026378,2467.64272131785,1.80251477086768,38135.8496976963,262.183966671662,9411.87500000001,9456.71787606342,1316.95627808413,0.207996569298423,640085.610703487,454.254138264182,2899.1618725072,2912.97492851746,0.000599,2.28796226228265e-07,0.704094171773835,0.00280347094406865,47.4876268575817,47.7138816437662,4119603.87532196,7878253.9405582,54162.9958413377,280068.339135568,3269.1974065855,3284.77349680455,328477.349680455
"2","Koelmans,Rochman","10.1002/etc.3093",2,2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,"P",2,2,2,2,0,1,0,2,11,11,22,"de Ruijter","Pass",NA,"Pass",NA,"Au","2015","Hyalella","azteca","Crustacea","Freshwater","Early","invivo",NA,0.78,"Koelmans 2020",0.112,"Koelmans 2020","water","N","N","Lab","Y","N","hard.reconstituted.water","ethanol",NA,NA,NA,25,NA,NA,10,5,3,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,"reported",5.993937824,"converted","Y","LOEC",10,"acute",2,"increase","Clear","fitness","mortality","mortality",6,"organism",NA,"PE",1.13,1.13e-09,"reported","fragment",NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,"estimated",18.5,NA,2467.64272131785,1316.95627808413,5.99e-07,3,"N","Y","laser.measuring.microscope",NA,"Y","microscopy","N",NA,"commercial","cospheric","unknown","N","N","N","N","Y","N","Y","microscopy.flourescent.particles","gut","Y","LTH,EM","Yes",NA,"Fragment","Polyethylene","Crustacea","Fitness","Mortality","Mortality","Organism","In Vivo","Early","Freshwater","Hyalella azteca",5304369.756,"10","Acute","Red Criteria Passed","Red Criteria Passed",24676427.2131785,4119603875.32196,"Freshwater","Particle Only",41196038753219.6,"Hyalella azteca","Crustacea",112,145.454545454545,10000,1,4.5207925495501,2212.00152194446,1.00476449974776,2222.5406026378,2467.64272131785,1.80251477086768,38135.8496976963,262.183966671662,94118.75,94567.1787606342,1316.95627808413,0.207996569298423,640085.610703487,454.254138264182,28991.618725072,29129.7492851746,0.000599,2.28796226228265e-07,0.704094171773835,0.00280347094406865,474.876268575817,477.138816437662,4119603.87532196,7878253.9405582,54162.9958413377,280068.339135568,32691.974065855,32847.7349680455,1642386.74840227
"3","Koelmans,Rochman","10.1002/etc.3093",2,2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,"P",2,2,2,2,0,1,0,2,11,11,22,"de Ruijter","Pass",NA,"Pass",NA,"Au","2015","Hyalella","azteca","Crustacea","Freshwater","Early","invivo",NA,0.78,"Koelmans 2020",0.112,"Koelmans 2020","water","N","N","Lab","Y","N","hard.reconstituted.water","ethanol",NA,NA,NA,25,NA,NA,42,3,6,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,"reported",2.996968912,"converted","N","NOEC",1,"chronic",1,NA,"Clear","fitness","growth","body.mass",3,"organism",NA,"PE",1.13,1.13e-09,"reported","fragment",NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,"estimated",18.5,NA,2467.64272131785,1316.95627808413,5.99e-07,3,"N","Y","laser.measuring.microscope",NA,"Y","microscopy","N",NA,"commercial","cospheric","unknown","N","N","N","N","Y","N","Y","microscopy.flourescent.particles","gut","Y","LTH,EM","No",NA,"Fragment","Polyethylene","Crustacea","Fitness","Growth","Body Mass","Organism","In Vivo","Early","Freshwater","Hyalella azteca",2652184.878,"1","Chronic","Red Criteria Passed","Red Criteria Passed",12338213.6065893,4119603875.32196,"Freshwater","Particle Only",20598019376609.8,"Hyalella azteca","Crustacea",112,145.454545454545,5000,1,4.5207925495501,1106.00076097223,1.00476449974776,1111.2703013189,2467.64272131785,1.80251477086768,38135.8496976963,262.183966671662,47059.375,47283.5893803171,1316.95627808413,0.207996569298423,640085.610703487,454.254138264182,14495.809362536,14564.8746425873,0.000599,2.28796226228265e-07,0.704094171773835,0.00280347094406865,237.438134287909,238.569408218831,4119603.87532196,7878253.9405582,54162.9958413377,280068.339135568,16345.9870329275,16423.8674840227,16423867.4840227
"4","Koelmans,Rochman","10.1002/etc.3093",2,2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,"P",2,2,2,2,0,1,0,2,11,11,22,"de Ruijter","Pass",NA,"Pass",NA,"Au","2015","Hyalella","azteca","Crustacea","Freshwater","Early","invivo",NA,0.78,"Koelmans 2020",0.112,"Koelmans 2020","water","N","N","Lab","Y","N","hard.reconstituted.water","ethanol",NA,NA,NA,25,NA,NA,42,3,6,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,"reported",5.993937824,"converted","Y","LOEC",1,"chronic",2,"decrease","Clear","fitness","growth","body.mass",3,"organism",NA,"PE",1.13,1.13e-09,"reported","fragment",NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,"estimated",18.5,NA,2467.64272131785,1316.95627808413,5.99e-07,3,"N","Y","laser.measuring.microscope",NA,"Y","microscopy","N",NA,"commercial","cospheric","unknown","N","N","N","N","Y","N","Y","microscopy.flourescent.particles","gut","Y","LTH,EM","Yes",NA,"Fragment","Polyethylene","Crustacea","Fitness","Growth","Body Mass","Organism","In Vivo","Early","Freshwater","Hyalella azteca",5304369.756,"1","Chronic","Red Criteria Passed","Red Criteria Passed",24676427.2131785,4119603875.32196,"Freshwater","Particle Only",41196038753219.6,"Hyalella azteca","Crustacea",112,145.454545454545,10000,1,4.5207925495501,2212.00152194446,1.00476449974776,2222.5406026378,2467.64272131785,1.80251477086768,38135.8496976963,262.183966671662,94118.75,94567.1787606342,1316.95627808413,0.207996569298423,640085.610703487,454.254138264182,28991.618725072,29129.7492851746,0.000599,2.28796226228265e-07,0.704094171773835,0.00280347094406865,474.876268575817,477.138816437662,4119603.87532196,7878253.9405582,54162.9958413377,280068.339135568,32691.974065855,32847.7349680455,16423867.4840227
"5","Koelmans,Rochman","10.1002/etc.3093",2,2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,"P",2,2,2,2,0,1,0,2,11,11,22,"de Ruijter","Pass",NA,"Pass",NA,"Au","2015","Hyalella","azteca","Crustacea","Freshwater","Early","invivo",NA,0.78,"Koelmans 2020",0.112,"Koelmans 2020","water","N","N","Lab","Y","N","hard.reconstituted.water","ethanol",NA,NA,NA,25,NA,NA,42,3,6,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,"reported",2.996968912,"converted","Y","LOEC",1,"chronic",2,"decrease","Clear","fitness","reproduction","fecundity",4,"organism",NA,"PE",1.13,1.13e-09,"reported","fragment",NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,"estimated",18.5,NA,2467.64272131785,1316.95627808413,5.99e-07,3,"N","Y","laser.measuring.microscope",NA,"Y","microscopy","N",NA,"commercial","cospheric","unknown","N","N","N","N","Y","N","Y","microscopy.flourescent.particles","gut","Y","LTH,EM","Yes",NA,"Fragment","Polyethylene","Crustacea","Fitness","Reproduction","Fecundity","Organism","In Vivo","Early","Freshwater","Hyalella azteca",2652184.878,"1","Chronic","Red Criteria Passed","Red Criteria Passed",12338213.6065893,4119603875.32196,"Freshwater","Particle Only",20598019376609.8,"Hyalella azteca","Crustacea",112,145.454545454545,5000,1,4.5207925495501,1106.00076097223,1.00476449974776,1111.2703013189,2467.64272131785,1.80251477086768,38135.8496976963,262.183966671662,47059.375,47283.5893803171,1316.95627808413,0.207996569298423,640085.610703487,454.254138264182,14495.809362536,14564.8746425873,0.000599,2.28796226228265e-07,0.704094171773835,0.00280347094406865,237.438134287909,238.569408218831,4119603.87532196,7878253.9405582,54162.9958413377,280068.339135568,16345.9870329275,16423.8674840227,8211933.74201137
"6","Koelmans,Rochman","10.1002/etc.3093",2,2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,"P",2,2,2,2,0,1,0,2,11,11,22,"de Ruijter","Pass",NA,"Pass",NA,"Au","2015","Hyalella","azteca","Crustacea","Freshwater","Early","invivo",NA,0.78,"Koelmans 2020",0.112,"Koelmans 2020","water","N","N","Lab","Y","N","hard.reconstituted.water","ethanol",NA,NA,NA,25,NA,NA,10,5,3,2,10,46000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4600,"reported",27.57211399,"converted",NA,"LC50",10,"acute",10,NA,"Clear","fitness","mortality","mortality",6,"organism",NA,"PE",1.13,1.13e-09,"reported","fragment",NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,"estimated",18.5,NA,2467.64272131785,1316.95627808413,5.99e-07,3,"N","Y","laser.measuring.microscope",NA,"Y","microscopy","N",NA,"commercial","cospheric","unknown","N","N","N","N","Y","N","Y","microscopy.flourescent.particles","gut","Y","LTH,EM",NA,NA,"Fragment","Polyethylene","Crustacea","Fitness","Mortality","Mortality","Organism","In Vivo","Early","Freshwater","Hyalella azteca",2440010.08776,"10","Acute","Red Criteria Passed","Red Criteria Passed",11351156.5180621,4119603875.32196,"Freshwater","Particle Only",18950177826481,"Hyalella azteca","Crustacea",112,145.454545454545,4600,1,4.5207925495501,1017.52070009445,1.00476449974776,1022.36867721339,2467.64272131785,1.80251477086768,38135.8496976963,262.183966671662,43294.625,43500.9022298917,1316.95627808413,0.207996569298423,640085.610703487,454.254138264182,13336.1446135331,13399.6846711803,0.000599,2.28796226228265e-07,0.704094171773835,0.00280347094406865,218.443083544876,219.483855561325,4119603.87532196,7878253.9405582,54162.9958413377,280068.339135568,15038.3080702933,15109.9580853009,151099.580853009
"7","Koelmans,Rochman","10.1002/etc.3093",2,2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,"P",2,2,2,2,0,1,0,2,11,11,22,"de Ruijter","Pass",NA,"Pass",NA,"Au","2015","Hyalella","azteca","Crustacea","Freshwater","Early","invivo",NA,0.78,"Koelmans 2020",0.112,"Koelmans 2020","water","N","N","Lab","Y","N","hard.reconstituted.water","ethanol",NA,NA,NA,25,NA,NA,10,3,3,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,"reported",0.293788,"converted","N","NOEC",10,"acute",1,NA,"Clear","fitness","growth","body.mass",3,"organism",NA,"PP",0.875,8.75e-10,"estimated","fiber",NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.075,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5,20,3612.831552,14922.5651,1.31e-05,3,"N","Y","laser.measuring.microscope",NA,"Y","microscopy","Y","FTIR","lab",NA,"N","N","N","N","N","Y","N","Y","microscopy","gut","Y","LTH,EM","No",NA,"Fiber","Polypropylene","Crustacea","Fitness","Growth","Body Mass","Organism","In Vivo","Early","Freshwater","Hyalella azteca",335757.71475,"10","Acute","Red Criteria Passed","Red Criteria Passed",81288.70992,275788668.091603,"Freshwater","Particle Only",6205245032.06107,"Hyalella azteca","Crustacea",112,145.454545454545,22.5,1,4.5207925495501,4.97700342437503,1.00476449974776,5.00071635593505,3612.831552,1.80251477086768,38135.8496976963,262.183966671662,310.044549832444,311.521757011914,14922.5651,0.207996569298423,640085.610703487,454.254138264182,739.140684624281,742.66232022973,0.0131,2.28796226228265e-07,0.704094171773835,0.00280347094406865,23.3672420972825,23.4785753163608,275788.668091603,7878253.9405582,54162.9958413377,280068.339135568,4.92430136003215,4.9477631926199,494.77631926199
"8","Koelmans,Rochman","10.1002/etc.3093",2,2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,"P",2,2,2,2,0,1,0,2,11,11,22,"de Ruijter","Pass",NA,"Pass",NA,"Au","2015","Hyalella","azteca","Crustacea","Freshwater","Early","invivo",NA,0.78,"Koelmans 2020",0.112,"Koelmans 2020","water","N","N","Lab","Y","N","hard.reconstituted.water","ethanol",NA,NA,NA,25,NA,NA,10,3,3,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,"reported",0.587576001,"converted","Y","LOEC",10,"acute",2,"decrease","Clear","fitness","growth","body.mass",3,"organism",NA,"PP",0.875,8.75e-10,"estimated","fiber",NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.075,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5,20,3612.831552,14922.5651,1.31e-05,3,"N","Y","laser.measuring.microscope",NA,"Y","microscopy","Y","FTIR","lab",NA,"N","N","N","N","N","Y","N","Y","microscopy","gut","Y","LTH,EM","Yes",NA,"Fiber","Polypropylene","Crustacea","Fitness","Growth","Body Mass","Organism","In Vivo","Early","Freshwater","Hyalella azteca",671515.4295,"10","Acute","Red Criteria Passed","Red Criteria Passed",162577.41984,275788668.091603,"Freshwater","Particle Only",12410490064.1221,"Hyalella azteca","Crustacea",112,145.454545454545,45,1,4.5207925495501,9.95400684875007,1.00476449974776,10.0014327118701,3612.831552,1.80251477086768,38135.8496976963,262.183966671662,620.089099664888,623.043514023828,14922.5651,0.207996569298423,640085.610703487,454.254138264182,1478.28136924856,1485.32464045946,0.0131,2.28796226228265e-07,0.704094171773835,0.00280347094406865,46.734484194565,46.9571506327215,275788.668091603,7878253.9405582,54162.9958413377,280068.339135568,9.8486027200643,9.8955263852398,494.77631926199
"9","Koelmans,Rochman","10.1002/etc.3093",2,2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,"P",2,2,2,2,0,1,0,2,11,11,22,"de Ruijter","Pass",NA,"Pass",NA,"Au","2015","Hyalella","azteca","Crustacea","Freshwater","Early","invivo",NA,0.78,"Koelmans 2020",0.112,"Koelmans 2020","water","N","N","Lab","Y","N","hard.reconstituted.water","ethanol",NA,NA,NA,25,NA,NA,10,3,3,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,"reported",0.293788,"converted","N","NOEC",10,"acute",1,NA,"Clear","fitness","mortality","mortality",6,"organism",NA,"PP",0.875,8.75e-10,"estimated","fiber",NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.075,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5,20,3612.831552,14922.5651,1.31e-05,3,"N","Y","laser.measuring.microscope",NA,"Y","microscopy","Y","FTIR","lab",NA,"N","N","N","N","N","Y","N","Y","microscopy","gut","Y","LTH,EM","No",NA,"Fiber","Polypropylene","Crustacea","Fitness","Mortality","Mortality","Organism","In Vivo","Early","Freshwater","Hyalella azteca",335757.71475,"10","Acute","Red Criteria Passed","Red Criteria Passed",81288.70992,275788668.091603,"Freshwater","Particle Only",6205245032.06107,"Hyalella azteca","Crustacea",112,145.454545454545,22.5,1,4.5207925495501,4.97700342437503,1.00476449974776,5.00071635593505,3612.831552,1.80251477086768,38135.8496976963,262.183966671662,310.044549832444,311.521757011914,14922.5651,0.207996569298423,640085.610703487,454.254138264182,739.140684624281,742.66232022973,0.0131,2.28796226228265e-07,0.704094171773835,0.00280347094406865,23.3672420972825,23.4785753163608,275788.668091603,7878253.9405582,54162.9958413377,280068.339135568,4.92430136003215,4.9477631926199,494.77631926199
"10","Koelmans,Rochman","10.1002/etc.3093",2,2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,"P",2,2,2,2,0,1,0,2,11,11,22,"de Ruijter","Pass",NA,"Pass",NA,"Au","2015","Hyalella","azteca","Crustacea","Freshwater","Early","invivo",NA,0.78,"Koelmans 2020",0.112,"Koelmans 2020","water","N","N","Lab","Y","N","hard.reconstituted.water","ethanol",NA,NA,NA,25,NA,NA,10,3,3,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,"reported",0.587576001,"converted","Y","LOEC",10,"acute",2,"increase","Clear","fitness","mortality","mortality",6,"organism",NA,"PP",0.875,8.75e-10,"estimated","fiber",NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.075,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5,20,3612.831552,14922.5651,1.31e-05,3,"N","Y","laser.measuring.microscope",NA,"Y","microscopy","Y","FTIR","lab",NA,"N","N","N","N","N","Y","N","Y","microscopy","gut","Y","LTH,EM","Yes",NA,"Fiber","Polypropylene","Crustacea","Fitness","Mortality","Mortality","Organism","In Vivo","Early","Freshwater","Hyalella azteca",671515.4295,"10","Acute","Red Criteria Passed","Red Criteria Passed",162577.41984,275788668.091603,"Freshwater","Particle Only",12410490064.1221,"Hyalella azteca","Crustacea",112,145.454545454545,45,1,4.5207925495501,9.95400684875007,1.00476449974776,10.0014327118701,3612.831552,1.80251477086768,38135.8496976963,262.183966671662,620.089099664888,623.043514023828,14922.5651,0.207996569298423,640085.610703487,454.254138264182,1478.28136924856,1485.32464045946,0.0131,2.28796226228265e-07,0.704094171773835,0.00280347094406865,46.734484194565,46.9571506327215,275788.668091603,7878253.9405582,54162.9958413377,280068.339135568,9.8486027200643,9.8955263852398,494.77631926199
